,cAll,cB,cV,cR,cI,lHa,lHb,lHg,FILENAME,DESIG,teff
3063,325729.1563,-4.899654984,-5.035278797,-4.902492762,-4.618890285,2.110641025,1.185620936,14.87894918,spec-55862-B6210_sp09-160.fits,J040247.43+291311.2,5661.63
3064,926469.125,-5.799287558,-6.082701683,-6.1356318,-6.02735579,1.576037331,1.772442205,4.201264663,spec-55862-B6210_sp15-118.fits,J040132.73+291741.8,5686.75
3065,726672.125,-5.660664439,-5.862496495,-5.847579837,-5.624585748,2.178020645,2.063687163,0.728295191,spec-55862-B6210_sp16-109.fits,J035852.83+295903.3,5845.56
3066,418684.3125,-5.089787245,-5.244886875,-5.216518044,-4.98272568,1.815085824,2.576170336,7.005400782,spec-55862-B6210_sp15-184.fits,J040046.14+290712.3,5286.59
3067,583669.9375,-5.574731231,-5.548920035,-5.489340425,-5.202291012,2.261350139,3.14009631,-4.120660187,spec-55862-B6210_sp16-041.fits,J035433.60+302726.1,5977.99
3068,2080490.625,-7.364103794,-6.907154322,-6.473423839,-5.89148283,2.87892816,3.658396996,5.114208853,spec-55862-B6210_sp16-027.fits,J035454.33+301618.3,7236.25
3069,719915.875,-5.615608096,-5.794264674,-5.797773004,-5.636761189,2.017647112,4.217202498,-3.580890854,spec-55862-B6210_sp16-046.fits,J035531.34+303536.2,5477.49
3070,683911.8125,-5.50126791,-5.799287558,-5.81404984,-5.615026951,0.58866037,-0.383024935,-7.372050612,spec-55862-B6210_sp16-063.fits,J035637.49+301253.6,4789.63
3071,781293.875,-5.831523538,-5.971224308,-5.882775187,-5.58080554,1.096279926,2.324703946,0.757475505,spec-55862-B6210_sp16-065.fits,J035624.24+302155.3,5295.2
3072,537221.1875,-5.25451839,-5.54278791,-5.522477627,-5.363265276,1.60523088,0.356770507,15.07148546,spec-55862-B6210_sp16-114.fits,J035759.01+300926.6,5674.32
3073,627517.4375,-5.524964333,-5.696200132,-5.68996489,-5.457674265,1.042462897,1.567295562,2.278919478,spec-55862-B6210_sp16-171.fits,J035700.44+300435.2,5097.24
3074,829267.5,-6.281993389,-5.973732471,-5.605660081,-5.084426999,2.745626895,2.316531339,2.222752803,spec-55862-B6210_sp16-188.fits,J035451.59+300351.9,6460.38
3075,564015.5,-5.857254863,-5.517807603,-5.189360976,-4.739341438,1.599614779,3.208986146,9.176017074,spec-55862-B6210_sp16-170.fits,J035553.67+295830.7,6628.16
